用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
困啊困啊睡觉吧,保密,一个早上看完了。&#34;将读书活动变为生活本身的一部分&#34;。,,一级评论,6,51,2023-07-14 12:40:31
珥稗珸,保密,哇[星星眼]，今天晚上看这么多视频，这是唯一一个和我一起看人数最多的。啧啧啧！央视啊[喜欢],,一级评论,3,31,2023-07-14 21:22:56
虾知,保密,每次看一看，更有力量。阅读是我最大的爱好了。,,一级评论,5,31,2023-07-11 10:28:37
洛溪cj,保密,平时是买纸质书呢还是看电子书,虾知,二级评论,3,0,2023-10-24 16:11:51
荷叶冬瓜,保密,回复 @洛溪cj :我喜欢买纸质书，但是出门或者碎片时间也会看电子书。怎么方便怎么来。,虾知,二级评论,4,1,2023-12-06 09:32:12
洛溪cj,保密,回复 @荷叶冬瓜 :我也喜欢看纸质书。这么多年买了不少书 每次搬家换城市全都扔了 唉 好可惜,虾知,二级评论,3,0,2023-12-08 16:46:02
妮妮玛卡雅,保密,回复 @洛溪cj :搬家邮寄过去[偷笑]我就这么干的,虾知,二级评论,4,0,2023-12-30 08:33:12
若瓣霜花,保密,读书能丰富人们的精神世界，拒绝内耗，充实自我。书籍可以打开一个全新的世界，所以要多读书，读好书，好读书。,,一级评论,3,21,2023-07-30 22:06:21
醉月畅饮,保密,文史哲，循环渐进，年少时多喜欢文学作品，小说集，步入社会，深知世道人心，人情世故，不多探寻心中的道路，认识历史，探寻历史，游历，举证，参考文献，实地考察，依然找不到答案，转向哲学，一个更大的命题，参考诸子百家，老庄，鬼谷，荀子，孙子，素书，周易，以及矛盾论实践论，教员选集，文集…………期间学书，制印，学习茶器，音乐，美学，建筑，依然不能够解惑…………,,一级评论,2,13,2023-11-23 22:50:20
喵小姐0088,保密,阅读是消灭无知，绝望和贫穷的终极武器，把读书融入生活中,,一级评论,2,15,2023-11-06 00:21:48
我只是看你在不在,保密,民为贵，社稷次之，君为轻。这千年之前的智慧，哎，什么时候才能看的到？,,一级评论,4,19,2023-07-19 17:40:29
Haluooooo,保密,多读书，少反思,我只是看你在不在,二级评论,5,7,2023-07-20 22:39:27
米蜜桃粉,保密,文字的传承，成就了现代文字文化的传播,,一级评论,2,18,2023-07-15 20:25:30
浅唐色,保密,比成天刷没营养的短视频好太多了，我现在每天逼着自己看各种纪录片。,,一级评论,4,12,2024-02-14 12:10:07
陈三愿999,保密,字，为世间至宝，能使凡者圣、愚者智、贫贱者富贵、疾病者康宁。,,一级评论,3,9,2023-11-20 21:30:50
胡三七啊,女,"心术不可得罪于天地，言行皆当无愧于圣贤。
曾子之三省勿忘，程子之四箴宜佩。
持躬不可不谨严，临财不可不廉介，处事不可不决断，存心不可不宽厚。",,一级评论,4,12,2023-11-09 22:19:42
胡三七啊,女,圣人之言，大哉！,胡三七啊,二级评论,4,0,2023-11-09 22:20:30
秋水欣,保密,人类的智慧延续源于文字的传承,,一级评论,3,9,2023-07-23 14:47:35
Jungle向往的生活,保密,文字给我们留下了思想、留下了知识、留下了文化和精神的传承,,一级评论,3,12,2023-07-15 14:30:56
央--央,保密,看了才懂，小学时所学的高尔基的那句话，书籍是人类进步的阶梯,,一级评论,2,11,2023-07-22 12:53:45
创客diy,保密,不咋地,,一级评论,3,2,2023-12-04 11:43:00
胡三七啊,女,一部聊斋传千古，十万进士化尘埃。,,一级评论,4,2,2023-11-09 22:04:11
胡三七啊,女,绵世泽莫如为善，振家声还是读书。,,一级评论,4,4,2023-11-09 21:54:41
胡三七啊,女,文字……真伟大！,,一级评论,4,3,2023-11-06 21:42:22
岸上景花,保密,[星星眼],,一级评论,2,2,2023-10-29 23:25:57
意一点,保密,精神上的满足。不必口体之奉而不如人也,,一级评论,5,2,2023-09-14 23:12:20
李厚忠雾,保密,读书的力量 到最后讲的是，国家都支持城市乡镇都要有条件看读书的地方，而我们的家乡做官的都没有兴趣看书，又那来的图书馆，麻将馆到是都有 ，感觉特多人的脸上杀气好重,,一级评论,2,8,2023-09-12 18:47:04
咀嚼文义,保密,杭州图书馆，读书人天堂,,一级评论,4,4,2023-08-21 23:12:18
Sylvia-----,女,造化不能藏其密也。天雨粟，鬼夜哭,,一级评论,5,2,2023-08-07 00:30:15
账号已注销,保密,谢谢分享[星星眼][星星眼][星星眼],,一级评论,0,2,2023-07-30 17:08:50
88088lj,保密,怎么不能投屏啊,,一级评论,3,2,2023-07-30 11:08:00
bili_62528402056,保密,今天河北大雨看这个刚刚好~,,一级评论,3,5,2023-07-30 10:20:19
dtwfu,保密,书中自有颜如玉，书中自有黄金屋,,一级评论,3,2,2023-07-30 01:03:12
亦扬亦水,保密,吴江什么时候变成一个市了，不是苏州市吴江区吗？？？,,一级评论,5,2,2023-07-29 16:46:57
停止摆烂啦,保密,腹有诗书气自华[打call][打call],,一级评论,2,2,2023-07-28 19:23:05
咸鱼已躺平M,保密,好看[星星眼],,一级评论,2,2,2023-07-28 17:03:54
世风日下ん,保密,"为什么读书，读什么样的书，各有不同。
读书，就是追求更好的生活。",,一级评论,3,3,2023-07-28 14:08:46
千年骑行,男,最近看伦敦游记,,一级评论,4,2,2023-07-28 12:25:39
圆满皓月,保密,精神贫瘠是世上最可怜的。,,一级评论,3,5,2023-07-27 16:31:31
不摆烂的小杨,保密,这个是全部的吗？好好看,,一级评论,4,2,2023-07-27 01:25:05
bili_21742237581,保密,哪里看全集？,,一级评论,2,2,2023-07-26 21:40:22
天地人_,保密,读书可以明智,,一级评论,2,2,2023-07-26 18:59:31
玲000jy,保密,全集呢,,一级评论,3,2,2023-07-23 20:25:25
红梅49,保密,非常喜欢[打call],,一级评论,5,2,2023-07-23 15:57:47
云淡风轻之永远,保密,听了，内心顿然开朗,,一级评论,2,3,2023-07-22 23:02:59
从而的虫,保密,高清吗？我看的有点虚呢？,,一级评论,3,2,2023-07-22 22:18:21
dorcny,保密,买书买书[笑哭],,一级评论,4,7,2023-07-22 04:02:20
dorcny,保密,半夜三点总是有两个人哈哈,dorcny,二级评论,4,3,2023-07-23 02:49:01
退休人家,保密,6 6 6,,一级评论,3,2,2023-07-21 20:31:36
春季来开花十四五六,保密,非常优质的视频，感谢分享，这个视频真棒,,一级评论,2,4,2023-07-21 17:51:59
小禾青青--,保密,多读书多思考🤔️,,一级评论,3,5,2023-07-21 10:43:22
兰溪南烛,保密,谢谢博主,,一级评论,4,4,2023-07-19 22:19:13
强化自我改变命运,保密,读书笔记[doge][doge][doge][doge],,一级评论,3,3,2023-07-18 11:05:59
yeyl1988,保密,现在上课很多都是ppt，看图，看视频。,,一级评论,3,6,2023-07-17 12:30:24
Carina爱宇宙,保密,没有课后阅读资料吗？ 那种需要提前阅读完，下一堂课时需要考察或者讨论的？,yeyl1988,二级评论,2,0,2024-02-13 14:17:23
你真的太好看,男,不仅让你改变，也让你带领全村人致富。,,一级评论,4,4,2023-07-16 22:21:11
动画100年,男,我[偷笑],,一级评论,4,3,2023-07-15 01:07:06
山明水秀霁月清风,保密,太棒了！[爱心]榜样的力量,,一级评论,6,7,2023-07-14 20:02:26
独星夜雨的冰冰,女,这个博物馆对外开放吗[奥比岛_喜欢][奥比岛_喜欢],,一级评论,4,6,2023-07-14 15:30:08
爱吃砂糖橘,保密,文字博物馆我去过，是对外开放的,独星夜雨的冰冰,二级评论,4,1,2023-07-14 21:09:04
独星夜雨的冰冰,女,回复 @爱吃砂糖橘 :此生必去一次[奥比岛_击爪][奥比岛_击爪],独星夜雨的冰冰,二级评论,4,1,2023-07-15 01:13:45
独星夜雨的冰冰,女,感兴趣的原来这么能催眠，我都睡昏了[捂脸][捂脸],,一级评论,4,8,2023-07-14 15:18:48
小常宝呀,保密,三刷！[喜欢][打call],,一级评论,5,10,2023-07-14 09:51:51
岸上景花,保密,[星星眼],,一级评论,2,2,2023-10-29 23:25:57
停止摆烂啦,保密,腹有诗书气自华[打call][打call],,一级评论,2,2,2023-07-28 19:23:05
尔康zz7,保密,非常喜欢这个视频，已关注收藏，感谢分享。,,一级评论,2,3,2023-07-19 13:38:54
谢宏炜,保密,为什么视频是两个多小时，实际只有24分钟啊,,一级评论,3,3,2023-07-14 21:26:16
三三33a,保密,有5集，一共两小时,谢宏炜,二级评论,4,0,2023-07-14 23:03:54
清欢酷酷鱼,保密,声音好听,,一级评论,2,1,2024-02-27 23:15:05
妮妮玛卡雅,保密,书已经买三书柜，就是不想看，我也很无奈。看看这个纪录片能不能到给我力量吧！,,一级评论,4,1,2023-12-30 08:34:20
小土豆的奔袭,保密,偶有所悟，读文哲并不等于修行也不代表高人一等，而是慢慢找到了这一生属于自己的路。,,一级评论,5,1,2023-12-20 22:59:48
风起昭然,保密,哪里能看论语啥的,,一级评论,4,1,2023-11-28 20:05:16
胡三七啊,女,子孙虽愚，诗书不可不读。,,一级评论,4,1,2023-11-09 22:06:49
月满西楼0614,女,[喜欢],,一级评论,3,1,2023-08-15 19:01:07
桃李刘芳,保密,这种风格的纪录片，孩子看不下去哇，太一板一眼了[星星眼],,一级评论,3,2,2023-07-23 21:40:59
长大的小西瓜,保密,这音乐听了起鸡皮疙瘩,,一级评论,3,2,2023-07-17 00:00:47
快乐的栗子蛋糕,保密,一个社会提升文化的首要依托就是读书的力量,,一级评论,5,12,2023-07-18 11:09:30
狗吞吞吐吐吞吞吐,保密,大晚上有七个人看,,一级评论,5,2,2023-07-27 03:32:28
Michael42187,保密,论语其实是糟粕，完全不符合现代道德，西方的人性和道德理念。才是正解。想想。东亚的绝育圈。压抑的社会环境就知道了。韩国，日本。出生率持续下降。这肯定跟文化有关系。,,一级评论,4,1,2024-01-07 14:23:24
bili_18245622738,保密,@AI视频小助理 总结一下,,一级评论,2,0,2024-03-05 17:03:28
892145,保密,@wwintersakura,,一级评论,2,0,2024-02-29 20:38:38
钱钱是只橘猫,保密,央妈出品，必是精品🤗,,一级评论,2,0,2024-02-29 10:59:45
清欢酷酷鱼,保密,👍👍👍,,一级评论,2,0,2024-02-27 23:15:42
人为自身立法,保密,所谓种族，更多的是一个文化概念，而非生理概念。人类99.99%的基因都是相同的。,,一级评论,3,0,2024-02-25 16:11:16
永远美好的小好,保密,美德即知识，邪恶即无知。苏格拉底,,一级评论,5,0,2024-02-19 19:25:52
大清王爷_,男,AWESOME READING,,一级评论,4,0,2024-02-16 10:48:32
伊悦喵,保密,不如工科，微积分，物理，化学，临床医学，法学,,一级评论,5,0,2024-01-08 19:03:37
云起雷鸣团粉,保密,适合初中生看吗,,一级评论,4,0,2024-01-03 06:50:58
流浪猪飞舞,保密,不能大比重介绍铅字印刷术，我们历史上雕版印刷术的重要性和文字普及意义应该比铅字印刷更重要具有深远意义。,,一级评论,3,0,2023-12-18 12:55:44
鱼6278,保密,我喜欢这个声音,,一级评论,3,0,2023-12-17 19:20:19
青狐白狸,女,哈哈 我来了,,一级评论,5,0,2023-12-12 16:45:01
努力吧556688,保密,[呲牙],,一级评论,2,0,2023-12-02 08:09:27
努力吧556688,保密,真好看！[星星眼][星星眼][星星眼],,一级评论,2,0,2023-12-02 08:07:00
